KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Türkçe,Greek,Dutch,Vietnamese
AlienParts02,Alien Parts,Alienteile,Composé Alien,Parti di Alieno,Partes de alienígena,Partes Alien,Partes Alien,Materia organiczna,Части инопланетянина,エイリアンパーツ,外星生物组织,外星部件,외계 부품,Uzaylı Parçaları,Εξωγήινα Μέρη,Buitenaardse delen,Bộ phận của Alien
AlienParts03,Alien Plasma T6,Alien Plasma T6,Plasma Alien T6,Plasma Alieno T6,Plasma alienígena T6,Plasma T6 Alien,Plasma Alien T6,Dziwne osocze T6,Инопланетная плазма T6,エイリアンプラズマT6,外星原生质 T6,外星等離子T6,외계 플라즈마 T6,Uzaylı Plazması T6,Εξωγήινο Πλάσμα Τ6,Buitenaards plasma T6,
AlienSpikeLemon,Alien Spike Lemon,Fremdartige Stachelzitrone,Citron à pointes Alien,Limone Spinoso Alieno,Limón con púas alienígena,Limão Pico Alien,Limão Pontudo Alien,Egzotyczny kolec cytrynowy,Инопланетный колючий лимон,エイリアンスパイクレモン,外星刺柠檬,外星尖刺檸檬,외계 스파이크 레몬,Uzaylı Başak Limonu,Εξωγήινη Λεμονιά,Buitenaardse punt-citroen,
AlienThorn,Alien Thorn,Aliendorn,Épine Alien,Spina Aliena,Espina alienígena,Espinho Alien,Espinho de Alien,Egzotyczny cierń,Инопланетный шип,エイリアンの棘,外星生物棘刺,外星荊棘,외계 가시,Uzaylı Dikeni,Εξωγήινο Κέρατο,Buitenaardse hoorn,
AlienTooth,Alien Tooth,Alienzahn,Dent Alien,Dente Alieno,Diente alienígena,Dente Alien,Dente de Alien,Kły jadowe,Инопланетный клык,エイリアンの牙,外星生物牙齿,外星牙齒,외계 이빨,Uzaylı Dişi,Εξωγήινο Δόντι,Buitenaardse tand,
AloeVera,Aloe Vera,Aloe Vera,Aloe Vera,Aloe Vera,Aloe Vera,Aloe Vera,Aloe Vera,Liście aloesu,Алоэ вера,アロエ,真芦荟,蘆薈,알로에 베라,Aloe Vera,Αλόε Βέρα,Aloe Vera,Nha đam
AntidoteInjection,Antidote Injection,Gegengift (Injektion),Injection d'antidote,Siringa di Antidoto,Inyección antídoto,Injeção Antídoto,Injeção de Antídoto,Zastrzyk z odtrutką,Противоядие (инъекция),解毒注射,解毒注射液,解藥注射,해독제 주사,Panzehir İğnesi,Αντιβιοτική Ένεση,Tegengif injectie,
AntidotePills,Antidote Pills,Gegengift (Tabletten),Pilule antidote,Pillole di Antidoto,Píldoras antídoto,Comprimidos Antídoto,Pílulas de Antídoto,Pigułki antidotum,Противоядие (таблетки),解毒薬,解毒药片,解藥藥片,해독제 알약,Panzehir Hapları,Αντιβιοτικά Χάπια,Tegengif pillen,
BakedPumpkin,Baked Pumpkin,Gebackener Kürbis,Potiron cuit,Zucca Cotta,Calabaza asada,Abóbora Cozida,Abóbora Cozida,Pieczona dynia,Печеная тыква,ベークドパンプキン,焗南瓜,烤南瓜,구운 호박,Pişmiş Kabak,Ψητή Κολοκύθα,Gebakken pompoen,
Bandages,Bandages,Bandagen,Bandages,Bende,Vendas,Ligaduras,Ataduras,Bandaż,Бинты,包帯,绷带,繃帶,붕대,Bandajlar,Επίδεσμοι,Verband,Băng gạc
BrafusFungi,Brafus Fungi,Brafus-Pilze,Champignons Brafus,Funghi Brafus,Hongo Brafus,Brafus Fungi,Fungos Brafus,Grzyby Brafusa,Грибы Брафус,ブラフス真菌,布瑞福斯真菌,布拉弗斯真菌,브라퍼스 균류,Brafus Mantarları,Μύκητας Μπράφους,Brafus zwammen,
BrainFungus,Brafus Fungus,Hirnpilz,Champignon Brafus,Brafus Fungus (Pianta),Hongo Brafus,Brafus Fungi,Fungo Brafus,Grzyb Brafusa,Гриб Брафус,ブラフス菌,布瑞福斯真菌,布拉弗斯真菌,브라퍼스 균,Brafus Mantarı,Μύκητες Μπράφους,Brafus zwam,
Bread,Bread,Brot,Pain,Pane,Pan,Pão,Pão,Chleb,Хлеб,パン,面包,麵包,빵,Ekmek,Ψωμί,Brood,Bánh mỳ
BulbPlantPod,Gaea's Seed Pod,Gaea's Samenhülsen,Gousse de Gaea,Bacello di Gaea's,Cápsula de semilla de Gaea,Vagem de sementes de Gaea,Vagem de Semente Gaea,Nasiona Gaea,Стручок Гайи,ガイアシードポッド,盖亚的种子舱,蓋亞的種莢,가이아 시드 포드,Gaea'nın Tohum Kapsülü,Φλούδα του Σπόρου Gaea,Gaea's zaad bol,
Cables,Cables,Kabel,Câbles,Cavetteria,Cables,Cabos,Cabos,Kable,Проводка,ケーブル,线缆,纜線,케이블,Kablolar,Καλώδια,Kabels,
CannedMeat,Canned Meat,Fleischkonserven,Conserve de viande,Carne in Scatola,Carne enlatada,Carne enlatada,Carne Enlatada,Konserwa mięsna,Мясные консервы,肉の缶詰,肉罐头,罐裝肉,통조림 고기,Konserve Et,Κρέας σε Κονσέρβα,Ingeblikt vlees,Thịt đóng hộp
CannedVegetables,Canned Vegetables,Gemüsekonserven,Conserve de légumes,Verdura in Scatola,Verdura enlatada,Legumes enlatados,Vegetais Enlatados,Konserwa warzywna,Овощные консервы,野菜の缶詰,蔬菜罐头,罐裝蔬菜,통조림 야채,Konserve Sebzeler,Λαχανικά σε Κονσέρβα,Ingeblikte groente,Rau đóng hộp
CapacitorComponent,Capacitor Device,Kondensatoreinheit,Condensateur,Condensatore,Condensador (Deco),Dispositivo Condensador,Dispositivo Capacitor,Kondensator,Конденсатор,キャパシターデバイス,电容装置,電容器設備,커패시터 장치,Kapasitör Cihazı,Πυκνωτής,Condensator,
Cement,Cement,Zement,Ciment,Cemento,Cemento,Cimento,Cimento,Cement,Цемент,セメント,水泥,水泥,시멘트,Çimento,Τσιμέντο,Cement,
Cheese,Cheese,Käse,Fromage,Formaggio,Queso,Queijo,Queijo,Ser,Сыр,チーズ,奶酪,乳酪,치즈,Peynir,Τυρί,Kaas,Phô mai
CheeseSlice,Cheese Slice,Käsescheibe,Tranche de fromage,Fetta di Formaggio,Loncha de queso,Fatia de queijo,Fatia de Queijo,Plasterek sera,Кусок сыра,スライスチーズ,奶酪片,乳酪片,치즈 슬라이스,Peynir Dilimi,Φέτα Τυρί,Kaasplak,
CheeseWheel,Cheese Wheel,Käselaib,Fromage,Forma di Formaggio,Bola de queso,Roda de queijo,Peça de Queijo,Koło serowe,Головка сыра,ホールチーズ,奶酪盘,乳酪圈,치즈 휠,Peynir Tekerleği,Κεφάλι Τυρί,Kaaswiel,
ClusterShroom,Fire Moss,Feuermoos,Mousse de feu,Muschio del Fuoco,Musgo de fuego,Musgo Fogo,Musgo de Fogo,Mszak,Огнемох,ファイアーモス,火藓,火蘚,파이어 모스,Ateş Yosunu,Βρύο Φωτιάς,Vuur mos,
CobaltIngot,Cobalt Ingot,Kobaltbarren,Lingot de Cobalt,Lingotto di Cobalto,Lingote de cobalto,Lingote Cobalto,Barra de Cobalto,Sztabka kobaltu,Кобальтовый слиток,コバルトインゴット,钴锭,鈷錠,코발트 잉곳,Kobalt Külçesisi,Μπάρα Κοβάλτιου,Kobalt staaf,
CobraLeaves,Cobra Leaves,Cobra-Blätter,Feuilles de Cobra,Foglie di Cobra,Hojas de cobra,Folhas Naja,Folhas-Cobra,Liście Kobry,Кобролист,コブラリーフ,眼镜蛇树叶,眼鏡蛇葉,코브라 잎,Kobra Yaprakları,Φύλλα Κόμπρας,Cobra bladeren,
Computer,Computer,Computer,Ordinateur,Computer,Ordenador,Computador,Computador,Komputer,Компьютер,コンピュータ,电脑,電腦,컴퓨터,Bilgisayar,Υπολογιστής,Computer,Máy vi tính
ConfettiMossScrapings,Confetti Moss Scrapings,Konfettimooskrümel,Scories de confettis,Fiore di Muschio,Raspaduras de confeti de musgo,Raspas Musgo Confetes,Raspas de Musgo Confete,Skrawki mchu Konfetti,Комки конфетти-мха,コンフェティモス,彩藓碎屑,紙屑苔蘚碎屑,콘페티 모스 스크래핑,Konfeti Yosun Artıkları,Ξύσμα Βρύου Confetti,Confettimos schraapsel,
ControlPanel,Control Device,Steuergerät,Système de contrôle,Dispositivo di Controllo,Dispositivo de control,Dispositivo de Controlo,Dispositivo de Controle,Urządzenie sterujące,Устройство управления,制御装置,控制设备,控制設備,제어 장치,Kontrol Cihazı,Συσκευή Ελέγχου,Besturingsapparaat,Thiết bị điều khiển
CopperIngot,Copper Ingot,Kupferbarren,Lingot de Cuivre,Lingotto di Rame,Lingote de cobre,Lingote de Cobre,Barra de Cobre,Sztabka miedzi,Медный слиток,カッパー インゴット,铜锭,銅錠,코퍼 잉곳,Bakır Külçesi,Μπάρα Χαλκού,Koper staaf,Thỏi đồng
Corn,Corn,Mais,Épis de maïs,Mais,Maíz,Milho,Milho,Kukurydza,Кукуруза,コーン,玉米,玉米,콘,Mısır,Καλαμπόκι,Mais,Ngô
CornDogFruit,Corn Dog,Corn Dog,Corn Dog,Pannocchi-Hot Dog,Perrito de maíz,Milho Cão,Salsichas Empanadas,Pałka wodna,Камыш,コーンドッグ,玉米热狗,玉米熱狗,콘 도그,Mısır Unu,Corn Dog,Corn dog,Ngô xúc xích
Egg,Egg,Ei,Oeufs,Uovo,Huevo,Ovo,Ovo,Jajko,Яйцо,エッグ,蛋,雞蛋,달걀,Yumurta,Αυγό,Ei,Trứng
EggPlantParts,Egg Plant Parts,Eierpflanzenteile,Partie de Magna Bulbus,Parti di Pianta d'Uovo,Partes de berenjena,Partes de Ovo Planta,Partes da Planta-Ovo,Fragmenty bakłażana,Части баклажана,エッグプラント,蛋树组织,茄子塊,달걀 공장 부품,Yumurta Bitki Parçaları,Μέρη Αυγό-φυτου,Ei plant delen,
Electronics,Electronics,Elektronik,Électronique,Parti Elettroniche,Electrónica,Eletrónica,Eletrônicos,Elektronika,Электроника,電子基板,电子元件,電子元件,전자기기,Elektronik,Ηλεκτρονικά,Elektronica,Thiết bị điện tử
EmergencyRations,Emergency Rations,Notverpflegung,Rations d'urgence,Razioni di Emergenza,Raciones de emergencia,Rações de Emergência,Ração de Emergência,Racje żywnościowe,Аварийный паек,携帯食料,应急口粮,緊急補給,비상 식량,Acil Erzaklar,Μερίδες Έκτακτης Ανάγκης,Noodrantsoen,Khẩu phần khẩn cấp
EnergyCell,Fuel Pack (Promethium),Kraftstoffzelle (Promethium),Pack carburant (Promethium),Cella di Carburante (Promethium),Paquete de combustible (Prometio),Blocos de combustível (Promécio),Pacote de Combustível (Promécio),Ogniwo paliwowe (Promet),Топливная ячейка (прометий),燃料パック (プロメチウム),燃料包（钷）,燃料包（鉕）,연료 팩(프로메튬),Yakıt Paketi (Prometyum),Καύσιμα (Προμήθειο),Brandstofpakket (Promethium),Gói nhiên liệu (Promethium)
EnergyCellHydrogen,Fuel Pack (Hydrogen),Kraftstoffzelle (Hydrogen),Pack Hydrogène,Cella di Idrogeno,Paquete de combustible (Hidrógeno),Blocos de combustível (Hidrogénio),Pacote de Combustível (Hidrogênio),Ogniwo paliwowe (Wodór),Топливная ячейка (водород),燃料パック (水素),燃料包（氢）,燃料包（氫）,연료 팩(수소),Yakıt Paketi (Hidrojen),Καύσιμα (Υδρογόνο),Brandstofpakket (Waterstof),
EnergyCellLarge,Large Fuel Pack (Promethium),Kraftstoffzelle groß (Promethium),Gros carburant (Promethium),Cella di Carburante Grande (Promethium),Paquete de combustible grande (Prometio),Blocos de combustível grandes (Promécio),Pacote de Combustível (Promécio),Duże ogniwo paliwowe (Promet),Большая топливная ячейка (прометий),大型燃料パック(プロメチウム),大型燃料包（钷）,大燃料包（鉕）,대형 연료 팩(프로메튬),Büyük Yakıt Paketi (Prometyum),Μεγάλα Καύσιμα (Προμήθειο),Groot brandstofpak (Promethium),Gói nhiên liệu lớn (Promethium)
EnergyPills,Energy Pills,Energiepillen,Pilule énergisante,Pillole Energetiche,Píldoras de energía,Comprimidos de energia,Pílulas de Energia,Pigułki pobudzające,Стимуляторы,エネルギーピル,能量药片,能量藥片,에너지 알약,Enerji Hapları,Χάπια Ενέργειας,Energie pillen,Thuốc viên năng lực
ErestrumIngot,Erestrum Ingot,Erestrumbarren,Lingot d'Erestrum,Lingotto di Erestrum,Lingote de erestrum,Lingote Erestrum,Barra de Erestro,Sztabka erestrum,Эреструмовый слиток,エレストランインゴット,锷锭,鍔錠,이레스트럼 잉곳,Erestrum Külçesi,Μπάρα Ερέστριου,Erestrum staaf,Thỏi Erestrum
Fiber,Plant Fibers,Pflanzenfaser,Fibres,Fibre Vegetali,Fibras de planta,Fibras Vegetais,Planta de Fibra,Włókna roślinne,Растительное волокно,植物繊維,植物纤维,植物纖維,식물 섬유,Bitki Lifleri,Φυτικές Ίνες,Plantvezels,Sợi thực vật
FireMossScrapings,Fire Moss Scrapings,Feuermooskrümel,Écorce de feu,Fiore di Muschio del Fuoco,Raspaduras de confeti de fuego,Raspas Musgo Fogo,Raspas de Musgo de Fogo,Skrawki mszaka,Комки огнемха,ファイアーモスの欠片,火藓碎屑,火焰苔蘚碎屑,파이어 모스 스크래핑,Yangın Yosun Artıkları,Ξύσμα Βρύου Φωτιάς,Vuurmos schraapsel,
FluxCoil,Flux Coil,Fluxspule,Bobine d'énergie,Bobina di Flusso,Espiral Flux,Rolo Fluxo,Bobina de Fluxo,Cewka strumieniowa,Магнитный сердечник,フラックスコイル,通量线圈,磁場線圈,플럭스 코일,Akı Bobini,Σπειροειδής Πηνίο,Flux spoel,
FrenchFries,Space Fries,Space Pommes,Frites de l'espace,Patatine Spaziali,Patatas fritas espaciales,Batatas fritas espaciais,Fritas Espaciais,Kosmiczne frytki,Космический фри,スペースフライ,太空薯条,太空薯條,스페이스 프라이즈,Patates Kızartması,Διαστημικές Πατάτες,Ruimte frietjes,
FruitPie,Fruit Pie,Früchtekuchen,Tarte aux fruits,Crostata di Frutta,Tarta de fruta,Tarte de fruta,Torta de Frutas,Szarlotka owocowa,Фруктовый пирог,フルーツパイ,水果派,水果派,과일 파이,Meyveli Turta,Φρουτόπιτα,Fruit taart,
FusionCell,Fusion Cell,Fusionszelle,Pile à combustible,Cella di Fusione,Célula de fusión,Célula de fusão,Célula de Fusão,Ogniwo paliwowe (fuzyjne),Энергоячейка,フュージョンセル,融合电池,融合電池,융합 세포,Füzyon Yakıt Hücresi,Κελί Τήξης,Fusiecel,
GlassPlate,Glass Plate,Glasplatte,Plaque de verre,Pannello di Vetro,Superficie de cristal,Prato de vidro,Placa de Vidro,Szklana płyta,Стеклянная панель,グラスプレート,玻璃板,玻璃板,유리판,Cam Plaka,Γυάλινη Πλάκα,Glasplaat,
GoldCoins,Gold Coins,Goldmünzen,Pièces d'or,Monete d'Oro,Monedas de oro,Moedas de ouro,Moedas de Ouro,Monety,Золотые монеты,ゴールドコイン,金币,金幣,금화,Altın Sikke,Χρυσά Νομίσματα,Gouden munten,
GoldIngot,Gold Ingot,Goldbarren,Lingot d'Or,Lingotto d'Oro,Lingote de oro,Lingote de ouro,Barra de Ouro,Sztabka złota,Золотой слиток,ゴールドインゴット,金锭,金錠,금 잉곳,Altın Külçesi,Μπάρα Χρυσού,Gouden staaf,
Ham,Ham,Schinken,Jambon,Prosciutto,Jamón,Fiambre,Presunto,Szynka,Окорок,ハム,肉饼,火腿,햄,Jambon,Ζαμπόν,Ham,Thịt giăm bông
HeavyWeaponKit,Heavy Weapon Upgrade Kit,Schwere Waffen Upgrade-Bausatz,Kit amélioration des armes lourdes,Kit di Potenziamento Armi Pesanti,Kit de actualización de armas pesadas,Conjunto upgrade de armamento pesado,Kit de Atualização de Arma Pesada,Zestaw ulepszeń do ciężkiej broni,Набор улучшения - Тяжелое вооружение,ヘビーウェポンアップグレードキット,重型武器升级包,重型武器升級套件,중무기 업그레이드 키트,Ağır Silah Yükseltme Paketi,Κιτ αναβάθμισης Βαρέου Όπλου,Zwaar Wapen Upgrade Kit,Bộ nâng cấp vũ khí hạng nặng
IronIngot,Iron Ingot,Eisenbarren,Lingot de Fer,Lingotto di Ferro,Lingote de hierro,Lingote ferro,Barra de Ferro,Sztabka żelaza,Железный слиток,アイアンインゴット,铁锭,鐵錠,아이언 잉곳,Demir Külçesi,Μπάρα Σιδήρου,IJzer staaf,Thỏi sắt
KavaeBeans,Kavae Beans,Kaffeebohnen,Haricots Kavae,Chicchi di Kavae,Granos de Kavae,Feijões Kavae,Grãos de Kavae,Ziarna Kavae,Каваэ-бобы,カヴァービーン,太空咖啡豆,卡維豆,카바 콩,Kavae Fasulyeleri,Φασόλια Kavae,Kavae bonen,
KavaeCoffee,Kavae Coffee,Kavae Kaffee,Café de Kavae,Caffè di Kavae,Café de Kavae,Café Kavae,Café de Kavae,Kawa,Каваэ кофе,カヴァーコーフィー,太空咖啡,卡維咖啡,카바 커피,Kavae Kahvesi,Καφές Kavae,Kavae koffie,
LaserKit,Laser Upgrade Kit,Laser Upgrade-Bausatz,Kit amélioration laser,Kit di Potenziamento Laser,Kit de actualización de láser,Conjunto Upgrade Laser,Kit de Atualização de Lazer,Zestaw ulepszeń do lasera,Набор улучшения - Лазер,レーザーアップグレードキット,激光武器升级包,鐳射升級套件,레이저 업그레이드 키트,Lazer Yükseltme Paketi,Κιτ Αναβάθμισης Λέιζερ,Laser upgrade kit,Bộ nâng cấp vũ khí laser
MagnesiumPowder,Magnesium Powder,Magnesiumpulver,Poudre de magnésium,Polvere di Magnesio,Polvo de magnesio,Pó Magnésio,Pó de Magnésio,Pył magnezowy,Порошок магния,マグネシウムパウダー,镁粉,鎂粉,마그네슘 파우더,Magnezyum Tozu,Σκόνη Μαγνησίου,Magnesium poeder,Bột Magnesium
MeatBurger,Meat Burger,Fleisch-Burger,Hamburger,Hamburger,Hamburguesa,Hambúrguer de carne,Sanduíche de Carne,Hamburger,Мясной бургер,バーガー,肉汉堡,肉餅,고기 버거,Et Burger,Μπέργκερ Κρέατος,Vlees burger,Bánh mì kẹp thịt
MetalComponents,Metal Components,Metallkomponenten,Composants métalliques,Componenti Metallici,Componentes de metal,Componentes de Metal,Componentes de Metal,Metalowe podzespoły,Металлические компоненты,メタルパーツ,金属零件,金屬元件,금속 컴포넌트,Metal Bileşenler,Μεταλλικά Συστατικά,Metalen onderdelen,Linh kiện kim loại
MoneyCard,Money Card,Geldkarte,Carte de crédit,Carta di Credito,Tarjeta de dinero,Cartão com dinheiro,Cartão de Dinheiro,Karta kredytowa,Банковская карта,キャッシュカード,代金卡,貨幣卡,현금 카드,Para Kartı,Πιστωτική Κάρτα,Pinpas,Tiền mặt
Motor,Motor,Motor,Moteur,Motore,Motor,Motor,Motor,Motor,Мотор,モーター,马达,馬達,모터,Motor,Μηχανή,Motor,Động cơ
MushroomSpiky,Spiky Mushroom,Stachelige Pilze,Champignon irritable,Fungo Spinoso,Hongo con espinas,Cogumelo espinhoso,Cogumelo Espinhoso,Kolczasty grzyb,Шипастый гриб,スパイクマッシュルーム,倒刺蘑菇,尖刺蘑菇,뾰족한 버섯,Dikenli Mantar,Μυτερό Μανιτάρι,puntige paddestoel,
NeodymiumIngot,Neodymium Ingot,Neodymiumbarren,Lingot de Néodymium,Lingotto di Neodimio,Lingote de Neodymium,Lingote neodímio,Barra de Neodímio,Sztabka neodymu,Неодимовый слиток,ネオジウムインゴット,钕锭,釹錠,네오디뮴 잉곳,Neodim Külçesi,Μπάρα Νεοδύμιου,Neodymium staaf,
NutrientSolution,Nutrient Solution,Nährlösung,Solution nutritive,Soluzione Nutriente,Solución nutritiva,Solução nutriente,Solução de Nutrientes,Roztwór odżywczy,Удобрение,栄養液,营养液,營養液,양분액,Besin Çözeltisi,Θρεπτικές Ουσίες,voedingsoplossing,Dung dịch dinh dưỡng
OpuntiaCactusPlant,Opuntia Cactus Plant,Opuntia Kaktuspflanze,Cactus Opuntia,Cactus Opuntia (Pianta),Cactus Opuntia,Planta Cato Opuntia,Cacto de Opunia,Opuncja,Кактус опунции,サボテンの苗,外星仙人掌,仙人掌屬植物,부채 선인장 식물,Opuntia Kaktüs Bitkisi,Φυτό Κάκτος Opuntia,Opuntia cactusplant,
OpuntiaCactusSpears,Opuntia Cactus,Opuntia Kaktus,Feuille de cactus Opuntia,Foglia di Cactus Opuntia,Cactus Opuntia,Cato Opuntia,Cacto de Opunia,Opuncja,Ростки кактуса опунции,サボテン,仙人掌片,仙人掌屬,부채 선인장,Opuntia Kaktüsü,Κάκτος Opuntia,Opuntia cactus,
PastaWithRedSauce,Pasta With Red Sauce,Nudeln mit Tomatensoße,Pâtes à la sauce rouge,Pasta al Pomodoro,Pasta con salsa roja,Massa com Molho vermelho,Massa Com Molho Vermelho,Makaron z sosem pomidorowym,Паста с красным соусом,レッドソースパスタ,红油意面,紅醬意面,레드 소스 파스타,Kırmızı Soslu Makarna,Μακαρόνια με Κόκκινη Σάλτσα,Pasta met rode saus,
Pearthing,Pearthing Fruits,Pearthing Früchte,Fruits poires exotiques,Pere Esotiche,Pera exótica,Frutos Pearthing,Frutos das Pereiras,Gruszkowoc,Плоды пирфинга,洋なし,太空梨,梨果,피어싱 과일,Armut Meyveleri,Αχλάδια,Peerding fruit,
PhoenixFernFonds,Phoenix Fern Frond,Phoenixfarnwedel,Feuille de fougère Phoenix,Fronda di Felce Phoenix,Hoja Phoenix,Fronde de Feto Phoenix,Folha de Samambaia Fênix,Liść paproci Feniksa,Папоротник Феникс - ветка,フェニックスシダ,凤凰蕨叶,鳳凰蕨葉,피닉스 양치식물 엽상체,Zümrüt Eğrelti Otu Yaprağı,Φύλλο Φτέρη Φοίνικα,Fenix varen blad,
PhoenixFernPlant,Phoenix Fern Plant,Phoenix Farnpflanze,Fougère Phoenix,Felce Phoenix (Pianta),Planta Hoja Phoenix,Planta Feto Phoenix,Samambaia Fenix,Paproć Feniksa,Папоротник Феникс - росток,フェニックスシダの苗,凤凰蕨,鳳凰蕨,피닉스 양치식물,Zümrüt Eğrelti Otu Bitkisi,Φυτό Φτέρη Φοίνικα,Fenix varen plant,
PhoenixFernRoot,Phoenix Fern Root,Phoenix Farnwurzel,Racine de fougère Phoenix,Radice di Felce Phoenix,Raíz de Hoja Phoenix,Raiz Feto Phoenix,Raiz de Samambaia Fênix,Korzeń paproci Feniksa,Папоротник Феникс - корень,フェニックスシダの根,凤凰蕨根,鳳凰蕨根,피닉스 양치식물 뿌리,Zümrüt Eğrelti Otu Kökü,Ρίζα Φτέρη Φοίνικα,Fenix varen wortel,
Pipes,Pipes,Rohre,Tuyaux,Tubi,Tuberías,Tubos,Canos,Rury,Трубы,パイプ,管子,管子,파이프,Borular,Σωλήνες,Pijpen,
PistolKit,Pistol Upgrade Kit,Pistole Upgrade-Bausatz,Kit amélioration pistolet,Kit di Potenziamento Pistola,Kit de actualización de pistola,Conjunto Upgrade Pistola,Kit de Atualização de Pistola,Zestaw ulepszeń do pistoletu,Набор улучшения - Пистолет,ピストルアップグレードキット,手枪升级包,手槍升級套件,피스톨 업그레이드 키트,Tabanca Yükseltme Paketi,Κιτ Αναβάθμισης Πιστολιού,Pistool upgrade kit,Bộ nâng cấp súng lục
PixieStalkBundle,Pixie Stalk Bundle,Pixiestielbündel,Tiges de Pixie,Gambi di Pixie,Ramillete de tallos pixie,Braçado de Caules Pixie,Punhado de Planta Duende,Łodyga Pixie,Пучок стеблей феечника,ピクシーの茎,精灵草束,精靈杆群,픽시 스토크 번들,Pixie Sapı Demeti,Pixie Stalk Bundle,Pixie stengel,
Pizza,Pizza,Pizza,Pizza,Pizza,Pizza,Piza,Pizza,Pizza,Пицца,ピザ,披萨,披薩,피자,Pizza,Πίτσα,Pizza,
Popcorn,Popcorn,Popcorn,Popcorn,Popcorn,Palomitas,Pipoca,Pipoca,Kukurydza,Попкорн,ポップコーン,爆米花,爆米花,팝콘,Patlamış Mısır,Ποπ Κορν,Popcorn,Bắp rang bơ
PowerCoil,Power Coil,Stromspule,Bobine de puissance,Bobina Energetica,Bobina de energía,Rolo de energia,Bobina de Energia,Cewka zasilająca,Трансформатор,パワーコイル,通能线圈,電力線圈,파워 코일,Güç Bobini,Πηνίο Ισχύος,Spoel,
PromethiumIngot,Promethium Ingot,Promethiumbarren,Lingot de Prométhium,Lingotto di Promethium,Lingote de prometio,Lingote Promécio,Barra de Promécio,Sztabka prometu,Прометиевый слиток,プロメチウムインゴット,钷锭,鉕錠,프로메튬 잉곳,Prometyum Külçesi,Μπάρα Προμήθειου,Promethium staaf,
PromethiumPellets,Promethium Pellets,Promethiumpellets,Pastilles de Prométhium,Pellets di Promethium,Perdigón de prometio,Projétil Promécio,Pastilhas de Promécio,Granulki prometu,Прометиевые гранулы,プロメチウムペレット,钷粒,鉕球,프로메튬 펠렛,Prometyum Peletleri,Σβόλοι Προμήθειου,Prometium pellets,Promethium viên
Pumpkin,Pumpkins,Kürbis,Potiron,Zucca,Calabazas,Abóboras,Abóboras,Dynie,Тыквы,パンプキン,南瓜,南瓜,호박,Kabaklar,Κολοκύθες,Pompoenen,
PumpkinCookie,Pumpkin Cookie,Kürbiskeks,Biscuits au potiron,Biscotto di Zucca,Galleta de calabaza,Bolacha de abóbora,Biscoito de Abóbora,Ciastko z dynią,Тыквенное печенье,パンプキンクッキー,南瓜饼,南瓜餅乾,호박 쿠키,Kabak Kurabiyesi,Μπισκότο Κολοκύθας,Pompoen koekje,
RadiationPills,Anti Radiation Pills,Anti Strahlungstabletten,Pilule Antiradiation,Pillole Anti-Radiazioni,Píldoras anti radiación,Comprimidos anti-radiações,Pílulas Anti-Radiação,Tabletki antyradiacyjne,Таблетки от радиации,抗放射線薬,抗辐射药片,抗輻射藥片,방사선 방지 알약,Anti Radyasyon Hapları,Χάπια κατά της Ακτινοβολίας,Anti stralings pillen,
Ratatouille,Ratatouille,Ratatouille,Ratatouille,Ratatouille,Ratatouille,Ratatouille,Ratatouille,Ratatouille,Рататуй,ラタトゥイユ,蔬菜杂烩,蔬菜雜燴,라따뚜이,Ratatouille (Fr. Sebzeli Türlüsü),Ratatouille,Ratatouille,
ReactorCore,Reactor Core,Reaktorkern,Noyau de réacteur,Nucleo di Reattore,Núcleo de reactor,Núcleo Reator,Núcleo Reator,Rdzeń reaktora,Ядро реактора,リアクターコア,反应堆核心,反應堆核心,원자로 코어,Reaktör Çekirdeği,Πυρηνικός Αντιδραστήρας,Reactor kern,Lõi phản ứng
Ribs,Spare Ribs,Schälrippchen,Côtes de porc,Costine,Costillas,Costeletas,Costelas,Żeberka,Ребрышки,スペアリブ,烤排骨,排骨,스페어 립,Kaburgalar,Παϊδάκια,Spareribs,
RifleKit,Rifle Upgrade Kit,Gewehr Upgrade-Bausatz,Kit amélioration fusil,Kit di Potenziamento Fucile,Kit de actualización de rifle,Conjunto Upgrade Espingarda,Kit de Atualização de Rifle,Zestaw ulepszeń do karabinu,Набор улучшения - Винтовка,ライフルアップグレードキット,步枪升级包,步槍升級套件,라이플 업그레이드 키트,Tüfek Yükseltme Paketi,Κιτ Αναβάθμισης Τουφεκιού,Geweer upgrade kit,Bộ nâng cấp súng trường
RoastedKavaeBeans,Roasted Kavae Beans,Geröstete Kaffeebohnen,Haricots Kavae grillés,Chicchi di Kavae Tostati,Granos tostados de Kavae,Grãos de Kavae Torrados,Grãos de Kavae Assados,Palone ziarna Kavae,Обжареные каваэ-бобы,ローストカバエビーン,烘焙太空咖啡,烤卡維豆,볶은 카바 콩,Kavrulmuş Kavae Fasulyesi,Ψητά Φασόλια Kavae,Geroosterde Kavae bonen,
RockDust,Stone Dust,Gesteinsmehl,Roche broyée,Polvere di Roccia,Polvo de roca,Pó de pedra,Pó de Pedra,Pył skalny,Каменная пыль,砂利,岩石粉,岩石塵,바위 흙,Taş Tozu,Σκόνη Πέτρας,Steen stof,Đá bụi
